employee_id,first_name,last_name,salary,department,rank
2616,Borden,Varcoe,75,Support,45
2101,Fern,Tenbrug,11,Services,34
2889,Daveta,Costanza,87,Research and Development,1
2492,Pierette,Wardell,32,Marketing,95
2411,Lacee,Golds,59,Sales,19
2698,Angelique,Terrelly,50,Business Development,41
2216,Raf,Karpov,12,Product Management,12
2737,Dur,Polin,56,Legal,70
2920,Ximenez,Blabie,12,Services,59
2869,Spence,Willans,68,Sales,68
2925,Eydie,Boichat,6,Product Management,25
2287,Marylinda,Eccles,87,Product Management,28
2012,Cordie,Tullot,19,Accounting,84
2974,Bogey,Geard,85,Product Management,31
2328,Lorilyn,Bucham,79,Research and Development,80
2357,Grace,Rasch,52,Human Resources,84
2308,Lana,McNirlan,6,Product Management,9
2849,Rudie,McCrea,99,Sales,2
2019,Manfred,Delahunt,18,Marketing,53
2574,Carola,Deveral,42,Marketing,91
2556,Anetta,Kalinovich,76,Services,35
2988,Marris,Leedes,77,Support,57
2118,Fancie,Dade,100,Human Resources,5
2187,Codee,Wyldbore,71,Services,98
2529,Moss,Huniwall,96,Marketing,41
2859,Anselm,Clamo,14,Human Resources,71
2545,Osbourn,Finan,85,Research and Development,19
2272,Kylynn,Eisig,18,Services,75
2708,Chaim,Kuzemka,97,Legal,2
2359,Morie,Wilkenson,26,Accounting,58
2707,Dinnie,Perell,4,Sales,59
2395,Normy,Gillingwater,9,Product Management,77
2970,Edan,Colaton,20,Accounting,55
2842,Carrol,Boxer,24,Product Management,87
2250,Ashby,Riditch,70,Product Management,18
2139,Giovanna,Geeves,4,Services,71
2680,Liane,Eudall,50,Accounting,56
2363,Taylor,Leonard,83,Training,57
2376,Nobie,Dmiterko,4,Sales,89
2218,Salvidor,Coite,5,Legal,83
2909,Land,Headingham,20,Marketing,6
2169,Delano,Foystone,96,Business Development,67
2252,Junina,Pigram,95,Services,7
2051,Stephi,Dudeney,14,Business Development,59
2292,Raynard,Mackney,73,Product Management,63
2566,Kilian,Faivre,30,Accounting,83
2754,Lida,Cockshot,64,Support,68
2900,Delcina,Le Strange,25,Human Resources,42
2803,Bettine,Danieli,23,Business Development,12
2505,Shawna,Lambertson,93,Legal,91
2146,Drusi,Sumbler,39,Research and Development,66
2919,Virgie,Ricarde,66,Training,44
2310,Mabelle,Ghilardini,41,Training,57
2933,Aldridge,Seage,97,Research and Development,30
2341,Adora,Mattaus,38,Training,13
2424,Irita,Kiossel,27,Support,44
2883,Rickert,Yerlett,27,Legal,9
2049,Odette,Fillingham,33,Human Resources,67
2480,Marget,Doughty,84,Human Resources,25
2922,Harwilll,Le Fevre,3,Research and Development,10
2568,Carey,Sylett,57,Marketing,87
2456,Stanton,McIlwrath,68,Support,1
2834,Siegfried,Gaskarth,42,Sales,25
2486,Nathalie,Spincke,16,Research and Development,94
2566,Trent,Gino,32,Legal,61
2213,Page,Benning,50,Business Development,41
2695,Celestyn,Paolillo,2,Legal,76
2668,Adolphe,Spilling,80,Business Development,41
2591,Nadya,Lorente,68,Support,51
2044,Leshia,Normavill,93,Legal,88
2908,Guillermo,de Cullip,47,Support,38
2099,Beckie,Livesley,94,Research and Development,15
2397,Nonna,Jerzak,54,Sales,38
2671,Rubetta,Danbye,12,Services,48
2367,Aile,Ondrousek,2,Product Management,63
